

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.303e-02	 4.312e-02	 4.325e-02	 9.738e-05
       Maxwell	 8.660e-04	 8.838e-04	 8.976e-04	 1.265e-05
   Diagnostics	 1.195e-01	 1.209e-01	 1.224e-01	 1.367e-03
    Collisions	 7.604e-04	 7.690e-04	 7.864e-04	 1.024e-05
Sync Particles	 2.185e-02	 2.238e-02	 2.272e-02	 3.437e-04
   Sync Fields	 2.599e-03	 2.627e-03	 2.664e-03	 2.373e-05
Sync Densities	 4.392e-03	 5.439e-03	 6.705e-03	 1.015e-03
  Part Merging	 4.431e-04	 4.532e-04	 4.578e-04	 5.921e-06
Part Injection	 3.838e-04	 3.954e-04	 4.068e-04	 8.431e-06


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 8.633e-02	 8.663e-02	 8.703e-02	 2.667e-04
       Maxwell	 1.734e-03	 1.766e-03	 1.792e-03	 2.269e-05
   Diagnostics	 2.829e-01	 2.858e-01	 2.886e-01	 2.738e-03
    Collisions	 1.525e-03	 1.541e-03	 1.579e-03	 2.173e-05
Sync Particles	 4.381e-02	 4.501e-02	 4.547e-02	 6.954e-04
   Sync Fields	 5.188e-03	 5.236e-03	 5.308e-03	 4.549e-05
Sync Densities	 8.742e-03	 1.113e-02	 1.393e-02	 2.058e-03
  Part Merging	 8.985e-04	 9.098e-04	 9.152e-04	 6.688e-06
Part Injection	 7.640e-04	 7.886e-04	 8.098e-04	 1.696e-05


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.295e-01	 1.303e-01	 1.313e-01	 6.343e-04
       Maxwell	 2.607e-03	 2.650e-03	 2.690e-03	 3.268e-05
   Diagnostics	 4.215e-01	 4.257e-01	 4.299e-01	 4.081e-03
    Collisions	 2.285e-03	 2.310e-03	 2.365e-03	 3.197e-05
Sync Particles	 6.583e-02	 6.764e-02	 6.847e-02	 1.062e-03
   Sync Fields	 7.792e-03	 7.850e-03	 7.973e-03	 7.352e-05
Sync Densities	 1.306e-02	 1.652e-02	 2.058e-02	 2.872e-03
  Part Merging	 1.337e-03	 1.366e-03	 1.377e-03	 1.661e-05
Part Injection	 1.145e-03	 1.182e-03	 1.214e-03	 2.571e-05


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.712e-01	 1.741e-01	 1.774e-01	 2.611e-03
       Maxwell	 3.472e-03	 3.531e-03	 3.581e-03	 4.194e-05
   Diagnostics	 6.081e-01	 6.136e-01	 6.192e-01	 5.324e-03
    Collisions	 3.048e-03	 3.083e-03	 3.158e-03	 4.363e-05
Sync Particles	 8.820e-02	 9.028e-02	 9.278e-02	 1.649e-03
   Sync Fields	 1.037e-02	 1.047e-02	 1.064e-02	 1.051e-04
Sync Densities	 1.799e-02	 2.194e-02	 2.625e-02	 2.943e-03
  Part Merging	 1.783e-03	 1.820e-03	 1.836e-03	 2.163e-05
Part Injection	 1.526e-03	 1.575e-03	 1.616e-03	 3.295e-05


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.129e-01	 2.181e-01	 2.240e-01	 4.989e-03
       Maxwell	 4.343e-03	 4.415e-03	 4.484e-03	 5.380e-05
   Diagnostics	 7.285e-01	 7.350e-01	 7.414e-01	 6.164e-03
    Collisions	 3.811e-03	 3.851e-03	 3.938e-03	 5.037e-05
Sync Particles	 1.091e-01	 1.109e-01	 1.157e-01	 2.746e-03
   Sync Fields	 1.308e-02	 1.323e-02	 1.349e-02	 1.563e-04
Sync Densities	 2.499e-02	 2.932e-02	 3.375e-02	 3.150e-03
  Part Merging	 2.227e-03	 2.273e-03	 2.294e-03	 2.685e-05
Part Injection	 1.908e-03	 1.966e-03	 2.018e-03	 3.967e-05


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.529e-01	 2.621e-01	 2.719e-01	 8.798e-03
       Maxwell	 5.209e-03	 5.296e-03	 5.377e-03	 6.485e-05
   Diagnostics	 8.943e-01	 9.019e-01	 9.097e-01	 7.365e-03
    Collisions	 4.577e-03	 4.623e-03	 4.721e-03	 5.699e-05
Sync Particles	 1.301e-01	 1.330e-01	 1.393e-01	 3.679e-03
   Sync Fields	 1.589e-02	 1.617e-02	 1.659e-02	 2.962e-04
Sync Densities	 3.289e-02	 3.624e-02	 3.984e-02	 3.244e-03
  Part Merging	 2.668e-03	 2.727e-03	 2.756e-03	 3.494e-05
Part Injection	 2.294e-03	 2.361e-03	 2.422e-03	 4.630e-05


--- Timestep = 6 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.928e-01	 3.059e-01	 3.199e-01	 1.273e-02
       Maxwell	 6.077e-03	 6.176e-03	 6.271e-03	 7.501e-05
   Diagnostics	 1.032e+00	 1.040e+00	 1.049e+00	 8.254e-03
    Collisions	 5.350e-03	 5.397e-03	 5.507e-03	 6.401e-05
Sync Particles	 1.500e-01	 1.543e-01	 1.624e-01	 4.912e-03
   Sync Fields	 1.861e-02	 1.894e-02	 1.927e-02	 2.873e-04
Sync Densities	 3.919e-02	 4.475e-02	 5.014e-02	 4.145e-03
  Part Merging	 3.108e-03	 3.179e-03	 3.214e-03	 4.192e-05
Part Injection	 2.676e-03	 2.753e-03	 2.822e-03	 5.256e-05


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.340e-01	 3.499e-01	 3.668e-01	 1.543e-02
       Maxwell	 6.946e-03	 7.061e-03	 7.170e-03	 8.804e-05
   Diagnostics	 1.216e+00	 1.226e+00	 1.236e+00	 9.374e-03
    Collisions	 6.123e-03	 6.172e-03	 6.290e-03	 6.847e-05
Sync Particles	 1.709e-01	 1.762e-01	 1.855e-01	 5.786e-03
   Sync Fields	 2.133e-02	 2.170e-02	 2.201e-02	 3.084e-04
Sync Densities	 4.520e-02	 5.217e-02	 5.894e-02	 5.012e-03
  Part Merging	 3.559e-03	 3.634e-03	 3.672e-03	 4.442e-05
Part Injection	 3.060e-03	 3.146e-03	 3.224e-03	 5.885e-05


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.742e-01	 3.937e-01	 4.144e-01	 1.903e-02
       Maxwell	 7.817e-03	 7.945e-03	 8.064e-03	 9.856e-05
   Diagnostics	 1.339e+00	 1.350e+00	 1.361e+00	 1.051e-02
    Collisions	 6.888e-03	 6.942e-03	 7.068e-03	 7.320e-05
